Concurso;Data Sorteio;Dezena_1;Dezena_2;Dezena_3;Dezena_4;Dezena_5;Dezena_6;Arrecadacao_Total;Ganhadores_Sena;Cidade;UF;Rateio_Sena;Ganhadores_Quina;Rateio_Quina;Ganhadores_Quadra;Rateio_Quadra;Acumulado;Valor_Acumulado;Estimativa_Prêmio;Acumulado_Mega_da_Virada
174;07/03/99;11;52;22;23;36;59;0;0;;;0;44;17.846,85;3217;243,18;SIM;942.313,58;0;0
175;07/10/99;10;20;13;1;42;50;0;0;;;0;114;8.094,08;7058;130,25;SIM;2.049.582,99;0;0
176;17/07/1999;28;4;1;45;53;3;0;0;;;0;62;16.696,39;5405;190,8;SIM;3.291.794,61;0;0
177;24/07/1999;35;22;39;41;59;38;0;0;;;0;52;21.716,29;4408;255,21;SIM;4.646.890,81;0;0
178;31/07/1999;5;27;19;26;15;33;0;1;;;6.129.539,43;198;6.240,11;13086;94,07;NÃO;0;0;0
179;08/07/99;6;53;5;26;27;23;0;0;;;0;78;10.281,59;5646;141,51;SIM;962.357,04;0;0
180;14/08/1999;39;6;29;60;51;23;0;0;;;0;111;15.907,98;6978;252,09;SIM;12.143.009,93;0;0
181;21/08/1999;33;1;55;35;51;27;0;0;;;0;182;11.127,07;11797;171,02;SIM;14.573.162,71;0;0
182;28/08/1999;46;60;5;10;28;3;0;0;;;0;239;9.954,78;17413;136,13;SIM;17.428.194,22;0;0
183;09/04/99;16;11;7;40;44;2;0;0;;;0;306;9.468,79;20677;139,6;SIM;20.905.131,40;0;0
184;09/11/99;9;60;21;16;41;34;0;0;;;0;217;14.699,97;15462;205,53;SIM;24.733.003,15;0;0
185;18/09/1999;59;17;22;46;43;55;0;0;;;0;366;12.275,86;24849;180,13;SIM;30.124.561,09;0;0
186;25/09/1999;24;26;51;25;14;23;0;0;;;0;352;17.072,24;31164;192,1;SIM;37.335.874,86;0;0
187;10/02/99;6;44;58;41;36;48;0;0;;;0;397;23.058,35;39365;231,66;SIM;48.320.873,60;0;0
188;10/10/99;34;42;43;46;27;17;0;1;;;64.905.517,65;1200;11.517,11;90235;152,58;NÃO;0;0;0
189;16/10/1999;41;53;38;4;31;15;0;0;;;0;61;23.476,18;5485;260,09;SIM;1.718.456,25;0;0
190;24/10/1999;32;40;42;21;10;5;0;0;;;0;304;14.923,96;21481;210,41;SIM;44.895.988,05;0;0
191;31/10/1999;58;5;41;3;1;23;0;1;;;50.968.412,58;383;13.212,41;30477;165,41;NÃO;0;0;0
192;11/06/99;1;60;26;41;28;54;0;0;;;0;53;23.005,08;4403;275,87;SIM;1.463.122,78;0;0
193;13/11/1999;12;4;11;49;43;19;0;0;;;0;190;7.199,87;11415;119,39;SIM;3.104.692,58;0;0
194;20/11/1999;32;42;43;25;28;33;0;0;;;0;106;12.862,40;7456;182,18;SIM;4.740.789,92;0;0
195;27/11/1999;17;3;44;37;9;32;0;1;;AM;6.370.250,64;339;4.005,56;13819;97,89;NÃO;0;0;0
196;12/04/99;32;17;9;14;24;7;0;0;;;0;182;5.309,16;10493;91,75;SIM;1.159.520,95;0;0
197;12/11/99;19;52;29;15;12;5;0;0;;;0;128;8.259,15;8720;120,78;SIM;2.428.125,98;0;0
198;18/12/1999;40;23;1;18;35;8;0;0;;;0;125;8.881,02;7134;155,02;SIM;3.760.278,08;0;0
199;24/12/1999;52;37;57;16;10;50;0;1;;SP;4.915.593,20;34;28.316,55;3143;305,16;NÃO;0;0;0
200;31/12/1999;12;15;44;34;51;19;0;2;;;8.829.389,20;186;11.008,48;13027;156,59;NÃO;0;0;0
201;01/08/00;55;22;5;30;35;20;0;1;;RN;1.038.373,94;77;11.237,81;4502;191,48;NÃO;0;0;0
202;15/01/2000;49;53;44;12;24;45;0;0;;;0;65;12.412,65;4279;187,85;SIM;968.186,82;0;0
203;22/01/2000;11;55;44;19;29;47;0;0;;;0;63;14.099,33;5417;163,36;SIM;2.034.096,14;0;0
204;29/01/2000;31;41;51;39;58;29;0;0;;;0;32;30.221,85;2400;401,43;SIM;3.194.615,19;0;0
205;02/05/00;26;32;54;43;46;40;0;1;;RJ;4.490.339,49;71;15.208,03;6014;178,86;NÃO;0;0;0
206;02/12/00;20;26;56;18;34;51;0;0;;;0;43;17.769,34;3478;218,86;SIM;916.897,74;0;0
207;19/02/2000;19;7;3;55;24;53;0;0;;;0;90;9.663,76;6510;133,1;SIM;1.960.583,04;0;0
208;26/02/2000;23;15;57;24;47;25;0;0;;;0;72;12.679,18;5232;173,83;SIM;3.056.064,34;0;0
209;03/04/00;13;52;32;41;21;26;0;0;;;0;81;12.349,82;5496;181,32;SIM;4.256.466,94;0;0
210;03/11/00;37;58;20;38;48;32;0;0;;;0;29;46.721,17;3921;344,24;SIM;14.043.878,83;0;0
211;18/03/2000;10;20;40;45;50;33;0;0;;;0;164;10.880,27;16680;106,58;SIM;16.185.115,03;0;0
212;25/03/2000;29;57;15;45;59;6;0;0;;;0;147;13.318,79;9880;197,42;SIM;18.534.548,53;0;0
213;04/01/00;3;30;9;35;23;32;0;3;;PR;7.089.194,54;312;7.299,77;18348;123,66;NÃO;0;0;0
;;;;;;;;;;;RS;;;;;;;;;
